Date,PX_MID
2020-11-09,0.094
2020-11-10,0.095
2020-11-11,0.095
2020-11-12,0.089
2020-11-13,0.089
2020-11-16,0.084
2020-11-17,0.082
2020-11-18,0.074
2020-11-19,0.062
2020-11-20,0.067
2020-11-23,0.072
2020-11-24,0.08
2020-11-25,0.085
2020-11-26,0.085
2020-11-27,0.08
2020-11-30,0.076
2020-12-01,0.084
2020-12-02,0.084
2020-12-03,0.08
2020-12-04,0.079
2020-12-07,0.075
2020-12-08,0.072
2020-12-09,0.074
2020-12-10,0.075
2020-12-11,0.07
2020-12-14,0.067
2020-12-15,0.071
2020-12-16,0.079
2020-12-17,0.082
2020-12-18,0.082
2020-12-21,0.082
2020-12-22,0.081
2020-12-23,0.081
2020-12-24,0.084
2020-12-25,0.084
2020-12-28,0.087
2020-12-29,0.091
2020-12-30,0.08
2020-12-31,0.072
2021-01-01,0.072
2021-01-04,0.071
2021-01-05,0.081
2021-01-06,0.086
2021-01-07,0.082
2021-01-08,0.079
2021-01-11,0.082
2021-01-12,0.082
2021-01-13,0.086
2021-01-14,0.076
2021-01-15,0.079
2021-01-18,0.079
2021-01-19,0.077
2021-01-20,0.079
2021-01-21,0.075
2021-01-22,0.074
2021-01-25,0.074
2021-01-26,0.067
2021-01-27,0.067
2021-01-28,0.06
2021-01-29,0.052
